Arts and Sciences,Business (Darden School) ,Commerce (McIntire School),Architecture,Continuing and Proffessional Studies,Education and Human Development,Engineering and Applied Sciences,Medical ,Nursing,Public Policy (Batten School),Other
AAS,GBUS,COMM,ALAR,ACCT,EDHS,AM,BIMS,GCNL,LPPA,AIRS
AMST,,GCOM,ARAH,BUS,EDIS,APMA,BIOC,GNUR,LPPL,ARCY
ANTH,,,ARCH,HR,EDLF,BME,BIOE,NUCO,LPPP,CASS
ARAB,,,ARH,ISBU,EDNC,CE,BIOP,NUIP,LPPS,COGS
ARAD,,,LAR,ISHU,KINE,CHE,CELL,NURS,,COLA
ARAH,,,PLAC,ISLS,KLPA,CPE,MED,,,CONC
ARTH,,,PLAN,ISSS,,CS,MICR,,,DEM
ARTR,,,SARC,IT,,ECE,PATH,,,DH
ARTS,,,,NCBM,,ENGR,PHAR,,,DS
ASL,,,,NCPR,,EP,PHY,,,EGMT
ASTR,,,,PC ,,MAE,,,,ELA
BIOL,,,,PSHM,,MSE,,,,ENTP
CHEM,,,,PSHM,,STS,,,,ESL
CHIN,,,,PSLP,,SYS,,,,ETP
CHTR,,,,PSPA,,,,,,EVHY
CLAS,,,,PSPM,,,,,,GBAC
CREO,,,,PSPS,,,,,,GCCS
DANC,,,,SEC,,,,,,GDS
DRAM,,,,,,,,,,GHSS
EALC,,,,,,,,,,GSAS
EAST,,,,,,,,,,GSCI
ECON,,,,,,,,,,GSGS
ENCW,,,,,,,,,,GSMS
ENGL,,,,,,,,,,GSSJ
ENWR,,,,,,,,,,GSVS
EURS,,,,,,,,,,HHE
EVAT,,,,,,,,,,HSCI
EVEC,,,,,,,,,,IMP
EVGE,,,,,,,,,,INST
EVSC,,,,,,,,,,ISIN
FREN,,,,,,,,,,LASE
FRTR,,,,,,,,,,LAST
GERM,,,,,,,,,,LAW
GETR,,,,,,,,,,LING
GREE,,,,,,,,,,MISC
HBIO,,,,,,,,,,NASC
HEBR,,,,,,,,,,NESC
HIAF,,,,,,,,,,PC
HIEA,,,,,,,,,,POTR
HIEU,,,,,,,,,,PPL
HILA,,,,,,,,,,PSPS
HIME,,,,,,,,,,PST
HIND,,,,,,,,,,SLTR
HISA,,,,,,,,,,UD
HIST,,,,,,,,,,
HIUS,,,,,,,,,,
ITAL,,,,,,,,,,
ITTR,,,,,,,,,,
JAPN,,,,,,,,,,
JPTR,,,,,,,,,,
KICH,,,,,,,,,,
KOR,,,,,,,,,,
LATI,,,,,,,,,,
LNGS,,,,,,,,,,
MATH,,,,,,,,,,
MDST,,,,,,,,,,
MESA,,,,,,,,,,
MEST,,,,,,,,,,
MSP,,,,,,,,,,
MUBD,,,,,,,,,,
MUEN,,,,,,,,,,
MUPF,,,,,,,,,,
MUSI,,,,,,,,,,
PERS,,,,,,,,,,
PETR,,,,,,,,,,
PHIL,,,,,,,,,,
PHS,,,,,,,,,,
PHYS,,,,,,,,,,
PLAD,,,,,,,,,,
PLAN,,,,,,,,,,
PLAP,,,,,,,,,,
PLCP,,,,,,,,,,
PLIR,,,,,,,,,,
PLIR,,,,,,,,,,
PLPT,,,,,,,,,,
POL,,,,,,,,,,
PORT,,,,,,,,,,
PSYC,,,,,,,,,,
RELA,,,,,,,,,,
RELB,,,,,,,,,,
RELC,,,,,,,,,,
RELG,,,,,,,,,,
RELH,,,,,,,,,,
RELI,,,,,,,,,,
RELJ,,,,,,,,,,
RELS,,,,,,,,,,
RUSS,,,,,,,,,,
RUTR,,,,,,,,,,
SANS,,,,,,,,,,
SAST,,,,,,,,,,
SATR,,,,,,,,,,
SLAV,,,,,,,,,,
SLFK,,,,,,,,,,
SOC,,,,,,,,,,
SPAN,,,,,,,,,,
STAT,,,,,,,,,,
SWAH,,,,,,,,,,
TURK,,,,,,,,,,
URDU,,,,,,,,,,
WGS,,,,,,,,,,
